supermarket_id,supermarket_name
STORE0129,Rambla de Emiliana Azorin 805
STORE0130,Cuesta Reyna Ocaña 2
STORE0131,Camino de Custodia Comas 74
STORE0132,Callejón de Benigno Samper 8
STORE0133,Avenida Hugo Cervera 42
STORE0134,Vial Luna Torrents 482
STORE0135,Calle de Alba Ruiz 86
STORE0136,Vial de Raquel Capdevila 67
STORE0137,Plaza Primitivo Quirós 13
STORE0138,C. Petrona Carmona 6
STORE0139,Alameda Nazario Lluch 52
STORE0140,Paseo Candelas Busquets 21
STORE0141,Avenida de Patricia Beltrán 35
STORE0142,Cuesta de Alberto Echevarría 88
STORE0143,Via Gabino Ugarte 1
STORE0144,Via Eduardo Rosell 5
STORE0145,Ronda Jose Manuel Peral 98
STORE0146,Urbanización Chus Herrera 3
STORE0147,Cuesta Eugenio Raya 1
STORE0148,C. Casandra Roma 70
STORE0149,Calle Francisco Tello 79
STORE0150,Cañada de Ruth Solís 678
STORE0151,Cuesta de Obdulia Revilla 26
STORE0152,C. de Patricio Zabaleta 4
STORE0153,Plaza Rosalía Saavedra 8
STORE0154,Avenida de Ramona Bauzà 11
STORE0155,Acceso Nazaret Castell 634
STORE0156,Callejón Jose Ramón Acuña 7
STORE0157,Cuesta Josefina Porta 31
STORE0158,Cañada Seve Bas 46
STORE0159,Calle Pedro Piñeiro 75
STORE0160,Vial Dimas León 51
STORE0161,Alameda de Leonardo Solsona 45
STORE0162,Plaza de Quirino Escudero 808
STORE0163,Calle Blanca Arrieta 74
STORE0164,Pasadizo de Charo Jaume 53
STORE0165,Alameda de Diana Pineda 8
STORE0166,Avenida de Agapito Valero 86
STORE0167,Glorieta de Carlota León 2
STORE0168,Urbanización Leticia Coello 556
STORE0169,Rambla Luis Ángel Feliu 185
STORE0170,Cañada Purificación Uribe 3
STORE0171,Glorieta de Abril Fonseca 73
STORE0172,Avenida Demetrio Lobato 59
STORE0173,Plaza Édgar Carranza 108
STORE0174,Rambla Juan Antonio Collado 84
STORE0175,Acceso de Gilberto Blazquez 86
STORE0176,Callejón Lino Valenzuela 33
STORE0177,Paseo Ariadna Casanovas 923
STORE0178,Cuesta Raúl Malo 22
STORE0179,Cañada Emilio Barrios 344
STORE0180,Pasadizo Rosalina Bonet 32
STORE0181,Cuesta Che Varela 561
STORE0182,Pasadizo de Jonatan Vicens 80
STORE0183,Cañada Otilia Valentín 637
STORE0184,Alameda de Ignacio Guerra 94
STORE0185,Urbanización de Olalla Girón 94
STORE0186,Urbanización Lalo Font 24
STORE0187,Urbanización Román Mateos 65
STORE0188,Plaza de Roberto Somoza 55
STORE0189,Alameda Manuela Avilés 44
STORE0190,Callejón de Sosimo Villalba 4
STORE0191,Alameda de Angelita Blanco 15
STORE0192,Cañada de Edu Plaza 284
STORE0193,Rambla de Juan Pablo Garrido 5
STORE0194,Cuesta de Tecla Guardiola 475
STORE0195,Cañada de Reinaldo Sáenz 60
STORE0196,Urbanización Fidela Pons 292
STORE0197,Callejón Edmundo Montaña 58
STORE0198,Pasadizo de Miriam Caro 484
STORE0199,Via Herminia Jimenez 29
STORE0200,Ronda de Bernardino Hernández 82
STORE0201,Ronda Norberto Carmona 6
STORE0202,Ronda Bárbara Briones 78
STORE0203,Acceso Cruz Esteve 1
STORE0204,Calle de Fidel Riera 59
STORE0205,Rambla de Jesús Briones 40
STORE0206,Glorieta de Plinio Teruel 5
STORE0207,Ronda Ainoa Luz 363
STORE0208,Calle Amelia Cabo 20
STORE0209,Vial de Jeremías Bru 4
STORE0210,Avenida Soledad Rius 315
STORE0211,Calle Albert Tur 21
STORE0212,C. Trinidad Ruano 64
STORE0213,Rambla Renata Ayala 66
STORE0214,Calle de Reinaldo Vigil 496
STORE0215,Pasadizo de Berta Garcés 81
STORE0216,Rambla de Maricela Grande 25
STORE0217,Via Ramón Amor 5
STORE0218,Paseo Ramona Santana 4
STORE0219,Rambla de Cristina Abril 305
STORE0220,Ronda de Renato Blasco 7
STORE0221,Cuesta de Noelia Ballester 31
STORE0222,Ronda Carmela Manrique 15
STORE0223,C. Aránzazu Moraleda 71
STORE0224,C. Nicolás Bermejo 40
STORE0225,Vial de Bibiana Menendez 8
STORE0226,Cuesta de Aurelio Polo 98
STORE0227,Pasaje de Jose Angel Godoy 8
STORE0228,Ronda Francisco Javier Manzanares 885
STORE0229,C. León Verdejo 42
STORE0230,Via Seve Campoy 91
STORE0231,Acceso de Efraín Uribe 575
STORE0232,Pasaje de Luciano Ribas 3
STORE0233,Pasadizo de Cipriano Cordero 9
STORE0234,Glorieta Albina Guillén 139
STORE0235,Pasadizo de Elías Ortuño 689
STORE0236,Glorieta de Estela Marti 39
STORE0237,Camino Valero Ojeda 42
STORE0238,Glorieta Paulina Piña 81
STORE0239,Callejón de Lucho Navarro 45
STORE0240,Rambla de Paz Jordá 45
STORE0241,Paseo Seve Núñez 1
STORE0242,C. Catalina Pedrosa 20
STORE0243,Cañada Angelina Saez 95
STORE0244,Camino de Dulce Calvo 562
STORE0245,Avenida de Jacinto Carbó 3
STORE0246,Plaza de Eligio Teruel 95
STORE0247,Camino de Juliana Garay 484
STORE0248,Calle Adrián Rojas 519
STORE0249,Pasadizo Máxima Cortes 28
STORE0250,Cuesta Albert Martin 67
STORE0251,Vial de José Antonio Seco 156
STORE0252,Avenida Vasco Carlos 70
STORE0253,Rambla de Pelayo Goicoechea 11
STORE0254,C. Horacio Vilalta 34
STORE0255,Via Efraín Viña 53
STORE0256,Plaza de Octavio Arnau 93
STORE0257,Urbanización de Joel Vizcaíno 7
STORE0258,Cañada de Noemí Carbajo 782
STORE0259,Cañada Daniela Valentín 19
STORE0260,C. de Wálter Tello 18
STORE0261,Camino de Tadeo Piñol 13
STORE0262,Cañada Silvestre Roig 30
STORE0263,Cañada Kike Almagro 99
STORE0264,Alameda de Alex Zabala 828
STORE0265,Urbanización María José Alfaro 6
STORE0266,Pasadizo de Trinidad Canals 83
STORE0267,Pasaje de Ana Aguilar 42
STORE0268,Pasadizo de Celia Fabregat 729
STORE0269,Cuesta de Lorena Quero 23
STORE0270,Camino de Félix Viana 538
STORE0271,Avenida de Galo Céspedes 408
STORE0272,Paseo Anunciación Acosta 29
STORE0273,Cuesta Lope Riquelme 51
STORE0274,Plaza Balduino Herranz 4
STORE0275,Acceso Ana Salinas 116
STORE0276,Cuesta Anunciación Amorós 45
STORE0277,Plaza de Ani Pedraza 30
STORE0278,Callejón de Hilda Murcia 52
STORE0279,Plaza de Calixta Agustín 105
STORE0280,Paseo Eli Leon 7
STORE0281,Rambla Felix Morante 44
STORE0282,Via de Jerónimo Palomo 16
STORE0283,Plaza de Luisa Arnal 8
STORE0284,Alameda María Yuste 3
STORE0285,Avenida Iker Rico 54
STORE0286,Cuesta de María Dolores Lorenzo 90
STORE0287,Paseo Cloe Llanos 6
STORE0288,Urbanización Elvira Lillo 63
STORE0289,Callejón Alexandra Daza 21
STORE0290,Via Adalberto Checa 41
STORE0291,C. de Marcos Cuevas 11
STORE0292,Pasaje de Macaria Vidal 30
STORE0293,Callejón de Palmira Palomo 10
STORE0294,Acceso de Damián Bartolomé 273
STORE0295,Via Ofelia Alcázar 82
STORE0296,Urbanización Iván Lopez 7
STORE0297,Vial de Nayara Sainz 44
STORE0298,Acceso de Jenny Fiol 3
STORE0299,Pasadizo Juanito Bustamante 7
STORE0300,Alameda de Maxi Pedrero 45
STORE0301,Callejón Venceslás Dalmau 65
STORE0302,Alameda de Modesta Abella 74
STORE0303,Vial de Marta Mayoral 19
STORE0304,Alameda de Flavia Ferrándiz 9
STORE0305,Rambla de Eladio Torralba 562
STORE0306,Pasaje Noa Villa 2
STORE0307,Avenida de Rita Viana 93
STORE0308,Pasadizo Humberto Sanmiguel 76
STORE0309,Callejón de Victor Falcó 3
STORE0310,Via Clarisa Mercader 79
STORE0311,Avenida de Odalis Feijoo 594
STORE0312,Camino Raimundo Torralba 78
STORE0313,Pasadizo Inmaculada Rodríguez 4
STORE0314,Alameda Cosme Pujadas 47
STORE0315,Callejón Olalla Almansa 1
STORE0316,Callejón de Cándido Mayo 51
STORE0317,Calle de Adelia Castells 20
STORE0318,Ronda de Estela Aller 8
STORE0319,Pasadizo Inmaculada Sacristán 17
STORE0320,Alameda de Cayetana Neira 97
STORE0321,Rambla Xavier Roldan 40
STORE0322,Via Micaela Iñiguez 540
STORE0323,C. Jordán Bonilla 69
STORE0324,Callejón de Ágata Cabrero 735
STORE0325,Cañada Marcia Planas 942
STORE0326,Paseo Mariana Rocha 62
STORE0327,Cuesta Enrique Gonzalo 12
STORE0328,Cañada de Genoveva Mendoza 39
STORE0329,Camino de Febe Prieto 99
STORE0330,Cañada de Encarnacion Tenorio 45
STORE0331,Alameda de Néstor Terrón 46
STORE0332,Paseo de Morena Tomas 79
STORE0333,Alameda Leocadia Cifuentes 26
STORE0334,Rambla Adela Prieto 38
STORE0335,Ronda Ascensión Vázquez 96
STORE0336,Vial de Faustino Pedrosa 704
STORE0337,Alameda Samu Suárez 88
STORE0338,Avenida de Perlita Carrillo 5
STORE0339,Paseo Marcelino Doménech 284
STORE0340,Camino Beatriz Alberdi 10
STORE0341,Callejón de Sergio Villalobos 254
STORE0342,Pasaje de Teodoro Cifuentes 49
STORE0343,Alameda de Yaiza Cerro 83
STORE0344,Pasaje de Tiburcio Esteve 43
STORE0345,Urbanización de Artemio Fabra 48
STORE0346,Acceso Arturo Cañete 5
STORE0347,Via Melania Barrios 8
STORE0348,Pasaje Fidela Paniagua 774
STORE0349,Paseo de Victoriano Alcalde 665
STORE0350,Glorieta de Adelia Miguel 23
STORE0351,Acceso Guillermo Torrijos 55
STORE0352,Urbanización Georgina Carbajo 78
STORE0353,Plaza Geraldo Borja 24
STORE0354,Vial de Godofredo Goicoechea 1
STORE0355,Ronda Óscar Báez 5
STORE0356,Plaza de Dan Jordá 59
STORE0357,Rambla Mayte Tomas 66
STORE0358,Ronda de Juanita Sanchez 97
STORE0359,Pasaje de Cristian Pulido 410
STORE0360,Cañada de Buenaventura Gual 2
STORE0361,Glorieta María Teresa Royo 30
STORE0362,Rambla Rodrigo Campo 14
STORE0363,Vial de Inés Domínguez 94
STORE0364,Vial Flor Viana 32
STORE0365,Cuesta de Aarón Bayo 62
STORE0366,C. de Clímaco Castillo 88
STORE0367,Vial Ruy Castillo 73
STORE0368,Pasadizo de Guiomar Cepeda 55
STORE0369,Via Nando Carpio 45
STORE0370,Avenida de Eulalia Albero 22
STORE0371,Calle Borja Collado 82
STORE0372,Ronda de Régulo Pallarès 73
STORE0373,Callejón Anabel Gomis 56
STORE0374,Rambla de Arturo Santos 69
STORE0375,Pasaje de Jordi Tovar 24
STORE0376,Urbanización Saturnina Gallo 485
STORE0377,C. Dan Heredia 1
STORE0378,Avenida Pía Barriga 41
STORE0379,Cuesta Anastasio Coloma 74
STORE0380,Glorieta Íñigo Pinto 2
STORE0381,Callejón de Odalys Verdú 70
STORE0382,Paseo Remigio Haro 380
STORE0383,Pasaje de Renato Rincón 89
STORE0384,Calle de Camilo Belda 256
STORE0385,Pasaje de Herberto Galiano 426
STORE0386,Pasadizo Gaspar Sáenz 16
STORE0387,Acceso de África Aramburu 89
STORE0388,Calle Alejandro Royo 51
STORE0389,Rambla de Seve Seguí 84
STORE0390,Paseo Eligio Gras 5
STORE0391,Avenida de Paco Sarabia 77
STORE0392,Pasadizo Cloe Gargallo 21
STORE0393,Plaza de Josefina Cuesta 23
STORE0394,Plaza de Sol Ochoa 70
STORE0395,Acceso Gala Barrena 46
STORE0396,Glorieta de Flavio Macías 27
STORE0397,Avenida Marisa Torrent 83
STORE0398,Vial Emilio Prieto 119
STORE0399,Ronda Selena Suarez 11
STORE0400,Calle Jaime Martin 86
STORE0401,Cuesta Estefanía Boada 71
STORE0402,Plaza de Juana Arce 11
STORE0403,Paseo Amalia Giménez 240
STORE0404,Pasaje Ester Correa 26
STORE0405,Rambla Oriana Marquez 78
STORE0406,Pasadizo Donato Cuéllar 6
STORE0407,Callejón de Pascual Cantero 449
STORE0408,Callejón Maricela Baños 3
STORE0409,Pasadizo de Ignacia Boada 34
STORE0410,Cuesta de Hipólito Dávila 7
STORE0411,Plaza de Narciso Tirado 14
STORE0412,Ronda Ani Sebastián 5
STORE0413,Alameda Felipa Grande 2
STORE0414,Plaza de Berta Sarabia 87
STORE0415,Plaza de María Ángeles Barranco 36
STORE0416,Via Rosa María Calleja 3
STORE0417,Camino Lorenzo Valls 74
STORE0418,Plaza de Abigaíl Ferrando 74
STORE0419,Cañada Alejo Donaire 83
STORE0420,Rambla de Mateo Solsona 24
STORE0421,Acceso Flor Manzano 26
STORE0422,Paseo de Pedro Barral 26
STORE0423,Paseo de Amancio Ávila 67
STORE0424,Avenida de Emilia Cordero 8
STORE0425,Callejón Dionisia Colom 15
STORE0426,Acceso Alejandro Patiño 81
STORE0427,Via de Florinda Espinosa 37
STORE0428,Ronda Natalio Ramos 3
STORE0429,Glorieta de Buenaventura Vall 455
STORE0430,Glorieta de Jose Luis Pla 95
STORE0431,Rambla de Roberta Silva 7
STORE0432,Paseo de Dominga Ramón 569
STORE0433,Acceso Marina Camps 1
STORE0434,C. Reyna Frías 51
STORE0435,Glorieta Vanesa Camps 89
STORE0436,Camino Octavia Martin 14
STORE0437,Cuesta Martín Díez 50
STORE0438,Vial de César Rivera 21
STORE0439,Pasadizo de Manu Sanmartín 48
STORE0440,Cañada Guiomar Iniesta 50
STORE0441,Via de Haydée Coca 39
STORE0442,Pasaje Efraín Franco 9
STORE0443,Via Florencia Alcalde 36
STORE0444,Rambla Fidel Franch 87
STORE0445,Rambla de Carla Diéguez 3
STORE0446,Alameda Imelda Colom 88
STORE0447,Alameda Jacobo Bonet 23
STORE0448,Pasadizo de Tiburcio Rojas 76
STORE0449,Pasaje de Porfirio Arribas 33
STORE0450,Urbanización de Conrado Rueda 214
STORE0451,Alameda de Irma Mariño 36
STORE0452,Ronda Custodio Mármol 9
STORE0453,Plaza María España 7
STORE0454,Alameda Tere Morán 93
STORE0455,Cuesta de Vidal Bernal 61
STORE0456,Camino de Roldán Iniesta 57
STORE0457,Acceso de Dominga Crespi 2
STORE0458,Urbanización Marianela Valenciano 13
STORE0459,Ronda Cristóbal Luís 42
STORE0460,Cuesta Juan Pablo Cabrero 144
STORE0461,Ronda Esperanza Arteaga 56
STORE0462,Paseo de Prudencio Cuenca 33
STORE0463,Pasadizo Celia Pozo 87
STORE0464,Calle de Eric Costa 8
STORE0465,Rambla de Elisabet León 432
STORE0466,Plaza Salud Pavón 436
STORE0467,Glorieta de Bárbara Cánovas 219
STORE0468,Cuesta de Fausto Botella 90
STORE0469,Glorieta de Carlota Mena 44
STORE0470,Calle de Ligia Canals 612
STORE0471,Urbanización de Ale Macías 15
STORE0472,Cañada de Anastasia Pedrosa 99
STORE0473,Cañada Timoteo Gras 36
STORE0474,Acceso Hugo Paniagua 52
STORE0475,Rambla de Caridad Ángel 47
STORE0476,Alameda Rosa María Canals 70
STORE0477,Glorieta José Ferrero 99
STORE0478,Glorieta Edgardo Carbajo 664
STORE0479,Urbanización de Aránzazu Calvo 52
STORE0480,Paseo Eva María Gual 88
STORE0481,Via Virgilio Riera 22
STORE0482,Glorieta Nico Cabezas 42
STORE0483,Cañada de Raúl Calvo 27
STORE0484,Paseo de Amor Colomer 800
STORE0485,Urbanización Ale Arribas 61
STORE0486,Urbanización Angélica Gargallo 486
STORE0487,Acceso de Leopoldo Acevedo 946
STORE0488,Plaza Lina Campoy 31
STORE0489,Ronda Berta Codina 45
STORE0490,Alameda de Evaristo Castejón 56
STORE0491,Urbanización de Elvira Mateo 3
STORE0492,Vial de Ricardo Guillén 253
STORE0493,Alameda de Jose Casals 431
STORE0494,Calle Amarilis Llorens 7
STORE0495,Callejón Manuelita Gimeno 6
STORE0496,Callejón de Ligia Tomás 89
STORE0497,Callejón Consuelo Corbacho 12
STORE0498,Avenida María Luisa Vaquero 17
STORE0499,Glorieta Ligia Soria 71
STORE0500,Acceso Ximena Llabrés 42
STORE0501,Avenida de Mauricio Sotelo 93
STORE0502,Cañada de Juan Pablo Puerta 441
STORE0503,Calle de Pili Roldán 903
STORE0504,Pasaje de Juan Francisco Bolaños 41
STORE0505,Camino de Lilia Marti 52
STORE0506,C. Teobaldo Landa 7
STORE0507,Pasaje Dorita Tejera 9
STORE0508,Acceso Amando Elías 9
STORE0509,Vial de Itziar Nicolás 60
STORE0510,Avenida Maristela Cabrera 4
STORE0511,Via Valeria Roma 17
STORE0512,Vial de Soledad Castejón 9
STORE0513,Via Brígida Bautista 9
STORE0514,Ronda Joaquín Ríos 47
STORE0515,Vial de Selena Guitart 47
STORE0516,Avenida de Teresita Marí 175
STORE0517,Avenida de Amado Gallego 8
STORE0518,Callejón de Sandalio Cantero 1
STORE0519,C. de Nando Galindo 59
STORE0520,Cuesta Loida Quintanilla 84
STORE0521,Urbanización Lilia Juliá 91
STORE0522,Calle de Esther Verdejo 15
STORE0523,Vial de Eliseo Marín 8
STORE0524,Callejón de Cristina Sastre 847
STORE0525,Paseo de Jose Francisco Barral 51
STORE0526,Via de Ruperto Blazquez 25
STORE0527,Callejón Mateo Casares 85
STORE0528,Via de Paz Martinez 68
STORE0529,Plaza Gala Teruel 150
STORE0530,Pasaje de Patricio Sobrino 52
STORE0531,Avenida de Constanza Jerez 8
STORE0532,Alameda de Remedios Bertrán 13
STORE0533,Camino Lorenza Mate 7
STORE0534,Pasadizo Rolando Antón 57
STORE0535,Acceso de Candelaria Flores 521
STORE0536,Rambla de Natalio Fabregat 5
STORE0537,Plaza Concepción Benítez 81
STORE0538,Camino Eliseo Cerro 16
STORE0539,Avenida Sergio Antúnez 69
STORE0540,Via de Evita Porras 7
STORE0541,Paseo Gervasio Ferrero 25
STORE0542,Glorieta María Fernanda Rosselló 4
STORE0543,Pasaje de Emelina Castellanos 79
STORE0544,Ronda de Américo Ramón 89
STORE0545,Ronda de Omar Yuste 63
STORE0546,Via Dalila Grau 38
STORE0547,C. Áurea Olivera 95
STORE0548,Callejón Luis Barrio 55
STORE0549,Cuesta Néstor Huerta 96
STORE0550,Callejón de Joaquín Ferrera 51
STORE0551,Cuesta Benigna Osuna 35
STORE0552,Rambla de Lupe Perales 54
STORE0553,Glorieta de Chuy Palau 63
STORE0554,Callejón Estela Briones 955
STORE0555,Ronda de Julie Guitart 6
STORE0556,Glorieta León Ruiz 49
STORE0557,Cañada de Encarnación Mancebo 37
STORE0558,Cuesta Hilario Peral 75
STORE0559,Glorieta de Octavio Prieto 501
STORE0560,Cañada Luisa Pla 3
STORE0561,Callejón Leticia Alsina 3
STORE0562,Callejón Arsenio Becerra 39
STORE0563,Rambla de Bonifacio Cruz 36
STORE0564,Via Carmelita Salvador 91
STORE0565,Glorieta de Rafael Urrutia 176
STORE0566,Cañada Anselma Briones 42
STORE0567,Urbanización Angélica Polo 107
STORE0568,Calle de Natalia Egea 235
STORE0569,Rambla Concha Torre 361
STORE0570,Pasadizo de Casandra Quesada 24
STORE0571,Via de Leire Navas 93
STORE0572,Vial de Lourdes Gonzalez 78
STORE0573,Ronda Esther Valbuena 50
STORE0574,Ronda de Hermenegildo Larrañaga 4
STORE0575,Cañada de Alondra Barbero 92
STORE0576,Camino Adelardo Casals 279
STORE0577,Pasadizo de Andrea Castro 76
STORE0578,C. Eusebio Garzón 216
STORE0579,Via de Eusebia Amat 61
STORE0580,Avenida de Abraham Agudo 89
STORE0581,Via de María Cristina Morcillo 33
STORE0582,C. Cruz Bauzà 9
STORE0583,Pasadizo de Teresita Alsina 51
STORE0584,Alameda de Raquel Segura 24
STORE0585,Pasadizo Isabela Maza 88
STORE0586,Plaza Brígida Benitez 72
STORE0587,Callejón de Marita Verdugo 63
STORE0588,Cuesta de María Jesús Murillo 30
STORE0589,Urbanización de Maite Taboada 17
STORE0590,C. de Armando Arroyo 72
STORE0591,Calle de Amando Cifuentes 83
STORE0592,Ronda Urbano Acedo 55
STORE0593,Pasaje Jose Luis Morales 889
STORE0594,Via de Reyes Solera 9
STORE0595,C. de Hugo León 62
STORE0596,Callejón Juliana Suárez 65
STORE0597,Camino José Manuel Canales 213
STORE0598,Ronda de Sandra Briones 54
STORE0599,C. Milagros Flores 2
STORE0600,Cañada de Agapito Caballero 44
STORE0601,Acceso Bernardita Barrera 6
STORE0602,Callejón Sol Salvador 711
STORE0603,Camino de Hilario Marqués 16
STORE0604,Cuesta de Paco Folch 67
STORE0605,Ronda de Almudena Sabater 70
STORE0606,Vial Elvira Coca 3
STORE0607,Avenida Jordana Boada 5
STORE0608,Via de Anacleto Amorós 82
STORE0609,Glorieta de Leyre Pomares 585
STORE0610,Cañada de Rosa María Uriarte 2
STORE0611,Cuesta de Reina Madrigal 69
STORE0612,Glorieta de Ciriaco Tejada 21
STORE0613,Callejón de Edgardo Barranco 39
STORE0614,Plaza Eligio Iniesta 72
STORE0615,Vial de Benito Almazán 503
STORE0616,Alameda Victoria Checa 24
STORE0617,Pasadizo Consuela Zaragoza 94
STORE0618,Callejón de Ariel Fabregat 637
STORE0619,Paseo Maura Matas 3
STORE0620,Urbanización de Mariano Rocamora 2
STORE0621,Glorieta de Nidia Cordero 69
STORE0622,Pasadizo de Anastasio Pla 531
STORE0623,Plaza Pablo Rosales 59
STORE0624,Via de Jonatan López 124
STORE0625,Urbanización Lina Hervia 58
STORE0626,Cuesta de Felix Ayllón 42
STORE0627,C. de Marco Cuevas 3
STORE0628,Via de Charo Collado 98
STORE0629,Ronda Eduardo Tello 257
STORE0630,Avenida de Godofredo Casals 18
STORE0631,Pasaje Esperanza Castilla 84
STORE0632,Calle Marcos Ojeda 86
STORE0633,C. de José Mari Canales 45
STORE0634,Pasadizo de Calixto Soler 386
STORE0635,Cañada Bernardino Pomares 9
STORE0636,Ronda Florentina Coloma 40
STORE0637,Glorieta de Olivia Yuste 25
STORE0638,Ronda Olalla Guardia 1
STORE0639,Glorieta de Ani Martin 277
STORE0640,Urbanización de Dorotea Murillo 1
STORE0641,Callejón de Amor Gámez 109
STORE0642,Paseo de Jorge Muñoz 25
STORE0643,Rambla de Pastor Conde 121
STORE0644,Alameda de Guadalupe Aller 722
STORE0645,Callejón de Ágata Costa 568
STORE0646,Urbanización Paulino Carbó 876
STORE0647,Avenida Calixto Sanchez 34
